exp_name,num_exp,min_MAE,min_MSE,max_R2,max_LCC,max_SRCC,max_KTAU,min_GMAE
clss_utkface_lb2000,3,6.288±0.013,81.669±1.321,0.794±0.003,0.892±0.002,0.862±0.001,0.700±0.001,3.405±0.021
clss_utkface_lb250,3,9.096±0.150,163.917±6.450,0.586±0.016,0.768±0.011,0.737±0.014,0.566±0.010,4.994±0.198
clss_utkface_lb50,3,13.609±0.917,340.943±39.913,0.138±0.101,0.438±0.084,0.447±0.074,0.320±0.057,7.564±0.403
fullysupervised_utkface,3,4.851±0.006,49.599±0.079,0.875±0.000,0.936±0.000,0.910±0.001,0.765±0.001,2.564±0.014
rankup(meanteacher-fixmatch)_utkface_lb250,3,7.006±0.172,98.049±5.135,0.752±0.013,0.868±0.008,0.831±0.004,0.662±0.006,3.809±0.128
meanteacher_utkface_lb2000,3,6.291±0.029,81.706±1.547,0.793±0.004,0.892±0.002,0.862±0.001,0.700±0.000,3.256±0.030
meanteacher_utkface_lb250,3,8.849±0.249,163.861±7.975,0.586±0.020,0.771±0.012,0.745±0.013,0.572±0.012,4.631±0.167
meanteacher_utkface_lb50,3,13.925±0.197,345.331±14.528,0.127±0.037,0.417±0.030,0.423±0.023,0.300±0.017,7.942±0.164
rankup(mixmatch-fixmatch)_utkface_lb250,3,7.117±0.092,91.350±2.525,0.769±0.006,0.893±0.003,0.866±0.002,0.701±0.001,4.443±0.113
mixmatch_utkface_lb2000,3,6.033±0.070,69.569±1.441,0.824±0.004,0.911±0.002,0.883±0.002,0.724±0.002,3.584±0.024
mixmatch_utkface_lb250,3,7.951±0.146,121.761±5.062,0.692±0.013,0.852±0.005,0.832±0.008,0.658±0.008,4.674±0.103
mixmatch_utkface_lb50,3,11.441±0.451,237.182±11.271,0.401±0.028,0.677±0.029,0.674±0.035,0.500±0.028,6.979±0.361
rankup(pimodel-fixmatch)_utkface_lb250,3,6.953±0.161,95.715±3.946,0.758±0.010,0.872±0.006,0.837±0.005,0.668±0.006,3.765±0.109
pimodel_utkface_lb2000,3,6.308±0.101,83.168±2.448,0.790±0.006,0.890±0.004,0.860±0.003,0.698±0.003,3.267±0.021
pimodel_utkface_lb250,3,9.453±0.302,184.454±11.701,0.534±0.030,0.737±0.019,0.706±0.015,0.533±0.013,4.890±0.141
pimodel_utkface_lb50,3,13.821±1.020,356.119±33.893,0.100±0.086,0.385±0.100,0.387±0.092,0.275±0.069,7.820±0.707
rankuprda_utkface_lb2000,3,5.513±0.074,61.921±1.524,0.844±0.004,0.919±0.002,0.890±0.003,0.736±0.004,2.967±0.041
rankuprda_utkface_lb250,3,6.570±0.184,86.350±4.743,0.782±0.012,0.886±0.007,0.856±0.005,0.690±0.005,3.523±0.121
rankuprda_utkface_lb50,3,9.329±0.539,177.405±16.268,0.552±0.041,0.757±0.026,0.770±0.009,0.595±0.005,4.938±0.476
rda_utkface_lb250,3,8.644±0.217,154.906±9.034,0.609±0.023,0.794±0.014,0.772±0.012,0.599±0.009,4.497±0.172
rda_utkface_lb50,3,14.342±1.273,371.893±49.433,0.060±0.125,0.409±0.108,0.442±0.104,0.317±0.078,7.834±0.703
rankup_utkface_lb2000,3,5.614±0.068,64.245±1.032,0.838±0.003,0.916±0.002,0.887±0.003,0.732±0.004,2.988±0.061
rankup_utkface_lb250,3,7.055±0.115,98.548±4.235,0.751±0.011,0.868±0.007,0.835±0.008,0.664±0.010,3.820±0.055
rankup_utkface_lb50,3,9.959±0.620,192.124±17.021,0.514±0.043,0.720±0.030,0.703±0.019,0.530±0.018,5.511±0.528
rankup(supervised-meanteacher)_utkface_lb250,3,8.757±0.135,155.536±6.919,0.607±0.018,0.782±0.010,0.750±0.005,0.577±0.006,4.623±0.072
supervised_utkface_lb2000,3,6.281±0.064,81.616±1.769,0.794±0.004,0.892±0.002,0.862±0.001,0.700±0.001,3.262±0.043
supervised_utkface_lb250,3,9.421±0.160,181.946±5.435,0.540±0.014,0.740±0.009,0.712±0.010,0.540±0.008,4.923±0.136
supervised_utkface_lb50,3,14.128±0.555,360.227±36.492,0.090±0.092,0.357±0.082,0.371±0.071,0.262±0.052,8.035±0.148
rankup(supervised-pimodel)_utkface_lb250,3,8.812±0.109,161.721±4.977,0.591±0.013,0.776±0.006,0.751±0.012,0.577±0.010,4.594±0.061
rankup(supervised-supervised)_utkface_lb250,3,9.027±0.087,163.129±7.112,0.588±0.018,0.769±0.013,0.746±0.008,0.571±0.008,4.852±0.103
ucvme_utkface_lb2000,3,5.902±0.066,70.910±2.583,0.821±0.007,0.906±0.004,0.877±0.002,0.718±0.003,3.203±0.045
ucvme_utkface_lb250,3,8.630±0.170,148.059±2.562,0.626±0.006,0.794±0.006,0.767±0.007,0.593±0.008,4.773±0.143
ucvme_utkface_lb50,3,13.491±0.954,333.775±43.387,0.157±0.110,0.409±0.132,0.412±0.127,0.294±0.093,7.960±0.585
